,ID,ICAO,Country,AirportName,longitude,latitude,Year,PAX,cargo,Population100km,Island,SouthIsland,Routes,RunwayCount,NUTS0,NUTS1,NUTS2,NUTS3,Tourists,Area,GDPpc,hub,international,ownership,RunwayLength
42,120,EDLP,Germany,Paderborn Lippstadt,8.616317,51.614089,2011,954095,30,9138973,0,0,20,1,DE,DEA,DEA4,DEA47,1682482,6520.8,31000,0,0,public,2180
39,121,EDLV,Germany,Niederrhein,6.141944,51.602222,2011,2410060,0,19145966,0,0,58,1,DE,DEA,DEA1,DEA1B,5564087,5291,35000,0,1,public,2440
43,126,EDLW,Germany,Dortmund,7.612242,51.518314,2011,1808956,32,16210655,0,0,36,1,DE,DEA,DEA5,DEA52,3378828,8004.7,28900,0,1,public,2000
27,132,EDNY,Germany,Friedrichshafen,9.511486,47.671317,2011,539376,1,6448766.5,0,0,16,1,DE,DE1,DE14,DE147,2606531,8917.7,34400,0,1,public,2356
26,137,EDSB,Germany,Baden Airpark,8.08048,48.7793,2011,1107496,608,10252175,0,0,24,1,DE,DE1,DE12,DE124,4216897,6919.1,35300,0,1,public,3060
49,141,EDXW,Germany,Westerland Sylt,8.340472,54.91325,2011,195438,0,1033463.938,0,0,2,2,DE,DEF,DEF0,DEF07,5965744,15799.3,25800,0,0,public,3816
36,793,ETNL,Germany,Laage,12.278333,53.918167,2011,164227,4,1719766.75,0,0,10,1,DE,DE8,DE80,DE809,6659366,23190.8,21600,0,0,public,2500
58,1312,LGAL,Greece,Dimokritos,25.956264,40.855869,2011,238265,470,1030575.938,0,0,4,1,EL,EL1,EL11,EL111,561992,14157,14400,0,0,public,2582
69,1320,LGAV,Greece,Eleftherios Venizelos Intl,23.944467,37.936358,2011,14325505,75143,4535767,0,0,257,2,EL,EL3,EL30,EL300,3450914,3808,27500,0,1,minor private,7800
71,1323,LGHI,Greece,Chios,26.140572,38.343175,2011,229500,338,1595638.625,1,1,6,1,EL,EL4,EL41,EL413,371239,3836,15600,0,1,public,1511
72,1328,LGIK,Greece,Ikaria,26.347061,37.682717,2011,37534,64,1257990,1,1,5,1,EL,EL4,EL41,EL412,371239,3836,15600,0,0,public,1381
62,1334,LGIO,Greece,Ioannina,20.8225,39.696388,2011,88597,0,796917.375,0,0,2,1,EL,EL2,EL21,EL213,677418,9203,14300,0,0,public,2400
